Random waveform, supplied seed
Total number of intervals = 80 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614)
Average QPS expected = 53849
Timestamp start: 1778616523759
Timestamp end: 1778617724059

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      269.3   204.3    86.8   161.3   181.2   260.9   287.0   301.2   312.1   324.2   342.1   372.8   520.1  1486.3  7871.4  16147.3    16149
read      252.0   115.4    74.4   130.4   144.0   236.5   287.7   313.7   331.4   350.8   373.8   408.6   503.1   969.7  3074.5  78764.9    78989
read      257.5    87.0    93.8   157.6   177.1   259.1   281.9   293.6   302.3   312.6   324.3   344.5   395.9   593.5  2703.8  18885.2    18886
read      251.6   111.6    80.4   130.6   144.2   236.8   288.1   313.6   330.9   349.5   371.9   404.1   493.9  1002.9  2972.1  75997.5    75954
read      261.5   106.1    80.4   140.0   154.8   261.7   301.2   319.3   332.2   345.5   363.7   389.5   445.4   631.6  3001.8  44489.7    44409
read      250.9    99.4    93.8   157.8   177.1   250.6   271.7   283.3   291.2   300.2   313.3   333.6   384.2   920.4  4161.0  16418.0    16431
read      248.0   111.1    74.4   128.4   141.6   231.5   282.0   308.3   326.0   345.7   370.3   405.2   508.9   962.2  2688.4  85653.8    85707
read      257.3   103.5    74.4   134.6   148.9   250.8   297.6   319.4   334.5   350.8   370.7   400.0   468.1   704.0  2825.4  58215.3    58253
read      254.6   132.2    74.4   129.9   143.7   233.5   282.3   308.3   326.4   347.0   374.2   423.5   645.8  1542.9  3202.8 103913.5   103867
read      260.8    95.2    80.4   155.5   175.0   261.5   286.4   299.0   309.1   319.1   334.8   358.2   419.7   657.7  2891.1  21583.8    21604
read      249.8   132.8    68.9   127.8   140.9   231.9   282.0   307.8   325.3   345.4   371.0   411.6   552.0  1199.0  4305.7  90333.4    90401
read      248.0   113.6    74.4   127.1   140.2   232.3   282.4   307.9   325.1   344.5   369.3   406.3   523.0  1007.4  3276.6  84377.7    84467
read      250.3   123.5    74.4   128.2   141.7   231.9   280.2   305.8   323.2   343.7   370.2   414.3   589.9  1268.5  3597.5  99724.9    99700
read      254.0    86.7    80.4   141.1   157.2   256.1   286.0   301.1   311.9   323.7   340.1   365.6   425.8   587.6  2687.4  32057.4    32052
read      251.6    78.8    86.8   154.3   174.1   251.9   274.0   286.5   294.5   305.4   318.0   340.9   397.1   616.9  2869.3  18151.6    18173
read      254.7   105.0    74.4   132.2   146.4   244.6   293.7   317.6   333.9   351.6   372.6   403.4   478.0   742.8  2371.9  67827.4    67789
read      261.6    98.7    80.4   139.0   153.9   259.1   301.5   321.2   335.2   350.2   369.1   397.1   460.4   656.2  2624.1  52026.5    51929
read      251.7   122.3    74.4   129.9   143.4   235.5   286.3   312.2   329.9   349.2   373.0   409.8   517.9   958.3  3852.6  83808.9    83850
read      256.1    78.0    93.8   157.1   176.6   257.4   279.9   291.8   300.0   310.9   322.3   344.2   399.8   697.5  2495.5  18640.3    18614

Total QPS = 53848.6 (64618372 / 1200.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 15960737637 bytes :   12.7 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.84%,1.01%,100.00%
