Random waveform, supplied seed
Total number of intervals = 100 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539)
Average QPS expected = 52869
Timestamp start: 1778425728355
Timestamp end: 1778427228665

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      267.4   165.7    80.4   132.2   148.3   254.4   291.1   311.2   325.4   343.1   368.1   414.5   682.7  2090.4  7057.9  24283.6    24258
read      323.3   370.5    74.4   124.1   138.9   258.3   325.6   367.9   399.6   437.5   492.8   614.6  1651.3  5214.6  9858.4  72035.1    72013
read      308.7   266.0    80.4   125.2   139.9   263.5   327.7   365.2   392.3   424.9   468.5   565.2  1318.0  3342.7  7674.8  58154.1    58012
read      294.9   420.2    74.4   126.8   141.5   267.0   324.0   355.2   377.3   403.3   438.0   505.0   894.6  2997.0  7777.6  45323.7    45398
read      295.4   218.9    74.4   124.8   139.5   264.4   323.7   357.2   381.1   409.2   447.6   520.5  1002.9  2723.7  7151.9  50186.3    50177
read      251.2   305.7    74.4   129.4   143.5   249.9   284.8   302.2   314.6   329.5   347.3   379.5   467.7  1054.2  3971.3  34442.3    34504
read      247.0   100.5    74.4   123.9   137.8   235.0   288.8   313.2   329.5   347.1   370.2   403.0   475.7   670.2  1998.1  66087.4    66010
read      245.2   222.5    74.4   123.0   136.5   229.1   285.2   311.4   328.6   346.9   370.8   404.3   484.2   743.1  2921.9  73863.8    73937
read      246.0    95.1    74.4   123.6   137.2   240.7   288.8   310.3   324.5   341.2   362.6   394.0   461.7   602.2  2292.2  54933.0    55020
read      245.9   100.9    74.4   124.7   138.2   241.3   288.3   309.2   322.6   338.9   359.5   390.7   457.7   633.2  2569.2  53176.6    53235
read      240.5   106.5    74.4   122.2   135.3   219.8   273.0   301.7   320.4   341.8   368.2   406.9   517.2   877.4  2284.3  97799.3    97743
read      206.5    70.3    86.8   143.5   156.1   201.2   218.5   228.8   235.2   245.3   256.8   275.6   328.8   793.4  3164.8   5417.1     5419
read      230.6    68.5    80.4   140.8   157.6   228.5   251.9   265.1   273.7   285.6   299.1   320.9   374.4   611.9  2434.4  14716.1    14764
read      210.6    71.0    86.8   142.5   156.8   206.1   224.3   234.2   242.6   252.1   265.6   286.4   336.8   636.1  2761.9   7452.1     7451
read      248.6    99.9    74.4   128.6   142.0   246.0   290.0   309.9   322.8   338.9   358.8   388.9   452.1   599.3  2142.3  48116.8    48208
read      232.9    82.9    80.4   139.2   155.4   231.3   255.6   268.8   277.7   289.5   304.0   326.8   379.5   617.7  2554.6  16117.5    16149
read      244.1   103.1    74.4   122.5   136.1   227.2   282.7   309.6   327.3   346.5   371.3   406.7   489.2   728.2  2528.5  79151.9    78989
read      238.0    77.5    74.4   138.6   155.7   235.4   261.9   275.3   286.3   297.4   314.6   341.0   404.2   667.3  2335.8  18939.1    18886
